number,course_id,question_type,question_text,option_a,option_b,option_c,option_d,option_e,correct_answers,explanation,is_active
964,206,single,"Which of the following is MOST important for an IS auditor to validate when reviewing the
controls for an organization's quality management system (QMS)?",Whether root cause analysis is performed on all failed and rejected changes,Whether critical services are delivered in a timely and sustainable manner,"Whether there is a process to monitor continuous improvement areas and necessary
targets","Whether the organization follows an industry-recognized service management
framework",,C,"Which of the following technology trends can lead to more robust data loss prevention
(DLP) tools?

A. Cloud computing
B. Robotic process automation (RPA)
C. Internet of Things (IoT)
D. Machine learning algorithms",True
965,206,single,"Which of the following technology trends can lead to more robust data loss prevention
(DLP) tools?",Cloud computing,Robotic process automation (RPA),Internet of Things (IoT),Machine learning algorithms,,D,"An IS auditor is reviewing the service management of an outsourced help desk. Which of
the following is the BEST indicator of how effectively the service provider is performing this
function?

A. Average ticket age
B. Number of calls worked
C. Customer satisfaction ratings
D. Call transcript reviews",True
966,206,single,"An IS auditor is reviewing the service management of an outsourced help desk. Which of
the following is the BEST indicator of how effectively the service provider is performing this
function?",Average ticket age,Number of calls worked,Customer satisfaction ratings,Call transcript reviews,,C,"An IS auditor is reviewing processes for importing market price data from external data
providers. Which of the following findings should the auditor consider MOST critical?",True
967,206,single,"An IS auditor is reviewing processes for importing market price data from external data
providers. Which of the following findings should the auditor consider MOST critical?",Imported data is not disposed of frequently.,The transfer protocol is not encrypted.,The transfer protocol does not require authentication.,The quality of the data is not monitored.,,D,"Which of the following is MOST likely to be reduced when implementing optimal risk
management strategies?",True
968,206,single,"Which of the following is MOST likely to be reduced when implementing optimal risk
management strategies?",Sampling risk,Residual risk,Detection risk,Inherent risk,,D,"Audit frameworks can assist the IS audit function by:

A. providing details on how to execute the audit program.
B. outlining the specific steps needed to complete audits.
C. providing direction and information regarding the performance of audits.
D. defining the authority and responsibility of the IS audit function.",True
969,206,single,Audit frameworks can assist the IS audit function by:,providing details on how to execute the audit program.,outlining the specific steps needed to complete audits.,providing direction and information regarding the performance of audits.,defining the authority and responsibility of the IS audit function.,,C,"When designing a data analytics process, which of the following should be the
stakeholder's role in automating data extraction and validation?

A. Indicating which data elements are necessary to make informed decisions
B. Allocating the resources necessary to purchase the appropriate software packages
C. Performing the business case analysis for the data analytics initiative
D. Designing the workflow necessary for the data analytics tool to evaluate the appropriate
data",True
970,206,single,"When designing a data analytics process, which of the following should be the
stakeholder's role in automating data extraction and validation?",Indicating which data elements are necessary to make informed decisions,Allocating the resources necessary to purchase the appropriate software packages,Performing the business case analysis for the data analytics initiative,"Designing the workflow necessary for the data analytics tool to evaluate the appropriate
data",,A,"The stakeholder’s role in automating data extraction and validation is to indicate which data
elements are necessary to make informed decisions. The stakeholder is the person who
has a vested interest in the outcome of the data analytics process and can provide the
business context and requirements for the analysis. The stakeholder can help the data
analyst to identify the relevant data sources, the key performance indicators (KPIs), and the
expected results of the analysis.
References
What Is the Data Analysis Process? 5 Key Steps to Follow - G2
What’s the Best Approach to Data Analytics? - Harvard Business Review
Weekly challenge 1 - GitHub: Let’s build from here",True
971,206,single,"Which of the following is a PRIMARY benefit of using risk assessments to determine areas
to be included in an audit plan?",Timely audit execution,Effective allocation of audit resources,Reduced travel and expense costs,Effective risk mitigation,,B,"Using risk assessments to determine areas to be included in an audit plan is a primary
benefit because it helps to prioritize the audit activities based on the level of risk and the

potential impact of the audit findings. This way, the audit resources, such as time, staff, and
budget, can be allocated more efficiently and effectively to the areas that need the most
attention and provide the most value.
References
ISACA CISA Review Manual, 27th Edition, page 256
What is the Purpose of a Risk Assessment?
Mastering the Process of Risk Assessment",True
972,206,single,"Which of the following is the GREATEST risk associated with lack of IT involvement in the
organization's strategic planning initiatives?",Business strategies may not align with IT capabilities.,Business strategies may not consider emerging technologies.,IT strategies may not align with business strategies.,IT strategic goals may not be considered by the business.,,C,"Comprehensive and Detailed Step-by-Step Explanation:
IfIT is not involvedinstrategic planning,IT strategy may diverge from business needs,
leading tomisalignment and inefficiencies.
Option A (Incorrect):Business strategy alignmentis important, but the greater risk is
thatIT investments do not support business goals.
Option B (Incorrect):Lack of emerging technology awareness is a risk, butIT-
business misalignment has broader consequences.
Option C (Correct):Thegreatest riskis when IT strategyfails to align with business
objectives, leading towasted investments, inefficiencies, and competitive
disadvantages.
Option D (Incorrect):IT goals being overlooked is a concern, butmisalignment of IT
and business strategies is a more critical risk.
Reference:ISACA CISA Review Manual –Domain 2: Governance and Management of IT–
Coversstrategic IT alignment and governance best practices.",True
973,206,single,"Which of the following is MOST important to the effectiveness of smoke detectors installed
in a data processing facility?",Detectors trigger audible alarms when activated.,Detectors have the correct industry certification.,Detectors are linked to dry pipe fire suppression systems.,Detectors are linked to wet pipe fire suppression systems.,,A,"An external audit firm was engaged to perform a validation and verification review for a
systems implementation project. The IS auditor identifies that regression testing is not part
of the project plan and was not performed by the systems implementation team. According
to the team, the parallel testing being performed is sufficient, making regression testing
unnecessary. What should be the auditor’s NEXT step?

A. Evaluate the extent of the parallel testing being performed
B. Recommend integration and stress testing be conducted by the systems implementation
team
C. Conclude that parallel testing is sufficient and regression testing is not needed
D. Recommend regression testing be conducted by the systems implementation team",True
974,206,single,"An external audit firm was engaged to perform a validation and verification review for a
systems implementation project. The IS auditor identifies that regression testing is not part
of the project plan and was not performed by the systems implementation team. According
to the team, the parallel testing being performed is sufficient, making regression testing
unnecessary. What should be the auditor’s NEXT step?",Evaluate the extent of the parallel testing being performed,"Recommend integration and stress testing be conducted by the systems implementation
team",Conclude that parallel testing is sufficient and regression testing is not needed,Recommend regression testing be conducted by the systems implementation team,,D,"Regression testing is crucial to ensure that new changes do not negatively impact existing
functionalities. The IS auditor should recommend that regression testing be conducted to
confirm that the system operates correctly after changes are made.
References
ISACA CISA Review Manual 27th Edition, Page 256-257 (Testing Strategies)",True
975,206,single,"An IS auditor is conducting an IT governance audit and notices many initiatives are
managed informally by isolated project managers. Which of the following recommendations
would have the GREATEST impact on improving the maturity of the IT team?","Schedule a follow-up audit in the next year to confirm whether IT processes have
matured.","Create an interdisciplinary IT steering committee to oversee IT prioritization and
spending.",Document and track all IT decisions in a project management tool.,Discontinue all current IT projects until formal approval is obtained and documented.,,B,"An IT steering committee is a group of senior executives and stakeholders who provide
strategic direction, guidance, and oversight for the IT function of an organization. An IT
steering committee can help to improve the maturity of the IT team by ensuring that the IT
initiatives are aligned with the business goals and objectives, that the IT resources are
allocated and utilized effectively and efficiently, and that the IT performance and value are
measuredand communicated. An IT steering committee can also help to resolve conflicts,
prioritize demands, and foster collaboration among the IT project managers and other
business units.
References
ISACA CISA Review Manual, 27th Edition, page 254
Auditing IT Governance
The Impact of Poor IT Audit Planning and Mitigating Audit Risk
IS Audit Basics: The Components of the IT Audit Report",True
976,206,single,"What should be an IS auditor's PRIMARY focus when reviewing a patch management
procedure in an environment where availability is a top priority?",Deployment automation to all servers,Technical skills of the deployment team,Comprehensive testing prior to deployment,Validity certification prior to deployment,,C,"Which of the following is the PRIMARY benefit of effective implementation of appropriate
data classification?

A. Ability to meet business requirements
B. Assurance that sensitive data is encrypted
C. Increased accuracy of sensitive data
D. Management of business risk to sensitive data",True
977,206,single,"Which of the following is the PRIMARY benefit of effective implementation of appropriate
data classification?",Ability to meet business requirements,Assurance that sensitive data is encrypted,Increased accuracy of sensitive data,Management of business risk to sensitive data,,D,"An IS auditor is supporting a forensic investigation. An image of affected storage media has
been captured while collecting digital forensic evidence. Which of the following techniques
would BEST enable an IS auditor to verify that the captured image is an exact, unchanged
replica of the original media?",True
978,206,single,"An IS auditor is supporting a forensic investigation. An image of affected storage media has
been captured while collecting digital forensic evidence. Which of the following techniques
would BEST enable an IS auditor to verify that the captured image is an exact, unchanged
replica of the original media?",Hash value,Access control list,File allocation table,Size of the file,,A,"Which of the following should be of GREATEST concern to an IS auditor reviewing an
organization's IT process performance reports over the last quarter?

A. Metrics are not aligned with industry benchmarks
B. Performance reporting includes too many technical terms
C. Key performance indicators (KPIs) were met in only one month
D. Metrics were defined without stakeholder review",True
979,206,single,"Which of the following should be of GREATEST concern to an IS auditor reviewing an
organization's IT process performance reports over the last quarter?",Metrics are not aligned with industry benchmarks,Performance reporting includes too many technical terms,Key performance indicators (KPIs) were met in only one month,Metrics were defined without stakeholder review,,C,"Which of the following should be used to evaluate an IT development project before an
investment is committed?

A. Earned value analysis (EVA)
B. Rapid application development
C. Function point analysis
D. Feasibility study",True
980,206,single,"Which of the following should be used to evaluate an IT development project before an
investment is committed?",Earned value analysis (EVA),Rapid application development,Function point analysis,Feasibility study,,D,"Which of the following is the MOST important consideration of any disaster response plan?

A. Lost revenue
B. Personnel safety
C. IT asset protection
D. Adequate resource capacity",True
981,206,single,Which of the following is the MOST important consideration of any disaster response plan?,Lost revenue,Personnel safety,IT asset protection,Adequate resource capacity,,B,"During the forensic investigation of a cyberattack involving credit card data, which of the
following is MOST important to ensure?

A. Adequate card security features are activated.
B. The company’s payment platforms are blocked.
C. Proper chain of custody is maintained.
D. All staff in the payment card unit are interviewed.",True
982,206,single,"During the forensic investigation of a cyberattack involving credit card data, which of the
following is MOST important to ensure?",Adequate card security features are activated.,The company’s payment platforms are blocked.,Proper chain of custody is maintained.,All staff in the payment card unit are interviewed.,,C,"Comprehensive and Detailed Step-by-Step Explanation:
In forensic investigations,maintaining a proper chain of custodyiscriticalto ensuring that

evidence is admissible in court and has not been altered.
Option A (Incorrect):Activatingsecurity features(e.g., encryption or tokenization) is
apreventive measurebut does not aid in investigating the attack.
Option B (Incorrect):Blocking payment platforms may be necessary fordamage
control, but it does not ensure a properinvestigation.
Option C (Correct):Thechain of custodyensures thatevidence remains intact, can
betraced, and islegally validfor prosecution. This is the most critical aspect of
forensic investigations.
Option D (Incorrect):Interviewing staff may provide insights, but without
properevidence handling, the investigation’s integrity is at risk.
Reference:ISACA CISA Review Manual –Domain 5: Protection of Information Assets–
Coversforensic investigations, evidence handling, and legal compliance.",True
983,206,single,"The GREATEST concern for an IS auditor reviewing vulnerability assessments by the
auditee would be if the assessments are:",Conducted once per year just before system audits are scheduled.,Conducted by the internal technical team instead of external experts.,"Performed for critical systems, not for the entire infrastructure.",Performed using open-source testing tools.,,A,"Comprehensive and Detailed Step-by-Step Explanation:
Conducting vulnerability assessmentsonly once per year, right before an audit,creates a
false sense of securityandleaves systems exposedbetween assessments.
Annual Testing Before Audit (Correct Answer – A)
Internal Team Conducting Assessments (Incorrect – B)
Focusing on Critical Systems (Incorrect – C)
Using Open-Source Tools (Incorrect – D)
References:
ISACA CISA Review Manual
NIST 800-115 (Technical Guide to Security Testing)",True
984,206,single,"During the audit of an enterprise resource planning (ERP) system, an IS auditor found an
applicationpatch was applied to the production environment. It is MOST

important for the IS auditor to verify approval from the:",information security officer.,system administrator.,information asset owner.,project manager.,,D,"Data from a system of sensors located outside of a network is received by the open ports
on a server. Which of the following is the BEST way to ensure the integrity of the data
being collected from the sensor system?",True
985,206,single,"Data from a system of sensors located outside of a network is received by the open ports
on a server. Which of the following is the BEST way to ensure the integrity of the data
being collected from the sensor system?",Implement network address translation on the sensor system.,Route the traffic from the sensor system through a proxy server.,Hash the data that is transmitted from the sensor system.,Transmit the sensor data via a virtual private network (VPN) to the server.,,D,"Which of the following roles is PRIMARILY responsible for mitigating the risk of benefits not
being realized in an IT project?

A. Project sponsor
B. Project manager
C. Quality assurance (QA) manager
D. Chief risk officer (CRO)",True
986,206,single,"Which of the following roles is PRIMARILY responsible for mitigating the risk of benefits not
being realized in an IT project?",Project sponsor,Project manager,Quality assurance (QA) manager,Chief risk officer (CRO),,A,"Which of the following observations should be of GREATEST concern to an IS auditor
assessing access controls for the accounts payable module of a finance system?

A. Payment files are stored on a shared drive in a writable format prior to processing.
B. Accounts payable staff have access to update vendor bank account details.
C. The IS auditor was granted access to create purchase orders.
D. Configured delegation limits do not align to the organization's delegation’s policy.",True
987,206,single,"Which of the following observations should be of GREATEST concern to an IS auditor
assessing access controls for the accounts payable module of a finance system?",Payment files are stored on a shared drive in a writable format prior to processing.,Accounts payable staff have access to update vendor bank account details.,The IS auditor was granted access to create purchase orders.,Configured delegation limits do not align to the organization's delegation’s policy.,,B,"Of the following who should be responsible for cataloging and inventorying robotic process
automation (RPA) processes?

A. IT personnel
B. Business owner
C. Information security personnel
D. Data steward",True
988,206,single,"Of the following who should be responsible for cataloging and inventorying robotic process
automation (RPA) processes?",IT personnel,Business owner,Information security personnel,Data steward,,B,"The business owner is best positioned to catalog and inventory robotic process automation
(RPA) processes because they understand the processes, objectives, and associated
risks. They ensure that RPA aligns with business goals and compliance requirements.
IT Personnel (Option A):Typically support implementation and maintenance but
may lack insight into business processes.
Information Security Personnel (Option C):Focus on securing processes but are
not responsible for inventorying them.
Data Steward (Option D):Primarily responsible for data governance, not RPA
process inventory.
Reference:ISACA CISA Review Manual, Job Practice Area 1: Governance and
Management of IT.",True
989,206,single,Which of the following is the PRIMARY benefit of operational log management?,It enhances user experience via predictive analysis.,It improves security with real-time monitoring of network data.,It organizes data to identify performance issues.,It supports data aggregation using unified storage.,,B,"Operational log management primarily enhances security by enabling real-time monitoring
and detection of anomalies within network data. Logs provide valuable information for
identifying threats, investigating incidents, and ensuring compliance with security policies.
Predictive Analysis for User Experience (Option A):While logs may support
analytics, this is not the primary benefit.
Performance Issue Identification (Option C):Logs can help identify performance
issues, but the focus of operational log management is security.
Data Aggregation Using Unified Storage (Option D):This supports management
but is secondary to the security benefits.
Reference:ISACA CISA Review Manual, Job Practice Area 3: Information Systems
Operations and Business Resilience.",True
990,206,single,"An IS auditor observes that a business-critical application does not currently have any level
of fault tolerance. Which of the following is the GREATEST concern with this situation?",Decreased mean time between failures (MTBF),Degradation of services,Limited tolerance for damage,Single point of failure,,D,"Which of the following will provide the GREATEST assurance to IT management that a
quality management system (QMS) is effective?

A. A high percentage of stakeholders satisfied with the quality of IT
B. A high percentage of IT processes reviewed by quality assurance (QA)
C. A high percentage of incidents being quickly resolved
D. A high percentage of IT employees attending quality training",True
991,206,single,"Which of the following will provide the GREATEST assurance to IT management that a
quality management system (QMS) is effective?",A high percentage of stakeholders satisfied with the quality of IT,A high percentage of IT processes reviewed by quality assurance (QA),A high percentage of incidents being quickly resolved,A high percentage of IT employees attending quality training,,A,"An IS auditor finds ad hoc vulnerability scanning is in place with no clear alignment to the
organization's wider security threat and vulnerability management program.

Which of the following would BEST enable the organization to work toward improvement in
this area?",True
992,206,single,"An IS auditor finds ad hoc vulnerability scanning is in place with no clear alignment to the
organization's wider security threat and vulnerability management program.

Which of the following would BEST enable the organization to work toward improvement in
this area?",Implementing security logging to enhance threat and vulnerability management,Maintaining a catalog of vulnerabilities that may impact mission-critical systems,Using a capability maturity model to identify a path to an optimized program,Outsourcing the threat and vulnerability management function to a third party,,C,"The best way to enable the organization to work toward improvement in its security threat
and vulnerability management program is to use a capability maturity model to identify a
path to an optimized program. A capability maturity model is a framework that helps
organizations assess their current level of performance and maturity in a specific domain,
and provides guidance and best practices to achieve higher levels of excellence12. A
capability maturity model for vulnerability management can help the organization to
evaluate its current practices, identify gaps and weaknesses, and implement improvement
actions based on the defined criteria and objectives34.
References
1: What is a Capability Maturity Model?1 2: Capability Maturity Model - Wikipedia2 3:
Vulnerability Management Maturity Model - SANS Institute4 4: 5 Stages Of Vulnerability
Management Maturity Model - SecPod Blog3",True
993,206,single,"Which of the following backup methods is MOST appropriate when storage space is
limited?",Incremental backups,Mirror backups,Full backups,Annual backups,,A,"Comprehensive and Detailed Step-by-Step Explanation:
When storage space is limited,incremental backupsare the most efficient because they
store only the changes made since the last backup, reducing storage requirements.
Option A (Correct):Incremental backupsonly store data that has changed since the
last backup, significantly reducing storage usage while maintaining a historical
record of changes.
Option B (Incorrect):Mirror backupscreate an exact copy of the entire system,
consuming significant storage space andnot retaining historical versions.
Option C (Incorrect):Full backupscapture everything and require large amounts of
storage, making them impractical for space-constrained environments.
Option D (Incorrect):Annual backupsrefer to frequency rather than method. They
do not inherently optimize storage usage.
Reference:ISACA CISA Review Manual –Domain 4: Information Systems Operations and
Business Resilience– Covers backup strategies, storage management, and disaster
recovery.",True
994,206,single,Data Loss Prevention (DLP) tools provide the MOST protection against:,The installation of unknown malware.,Malicious programs running on organizational systems.,The downloading of sensitive information to devices by employees.,The sending of corrupt data files to external parties via email.,,C,"Comprehensive and Detailed Step-by-Step Explanation:
DLP (Data Loss Prevention) toolsare designed toprevent unauthorized access, transfer, or

leakage of sensitive data, especially byinsider threatsorunauthorized downloads.
Preventing Unauthorized Downloads (Correct Answer – C)
Preventing Malware Installation (Incorrect – A, B)
Preventing Corrupt Data Transmission (Incorrect – D)
References:
ISACA CISA Review Manual
NIST 800-53 (Data Protection Controls)
CIS (Center for Internet Security) DLP Best Practices",True
995,206,single,"An external attacker spoofing an internal Internet Protocol (IP) address can BEST be
detected by which of the following?",Comparing the source address to the domain name server (DNS) entry,Using static IP addresses for identification,Comparing the source address to the interface used as the entry point,"Using a state table to compare the message states of each packet as it enters the
system",,D,"Which of the following is the MOST important factor when an organization is developing
information security policies and procedures?

A. Alignment with an information security framework
B. Compliance with relevant regulations
C. Inclusion of mission and objectives
D. Consultation with security staff",True
996,206,single,"Which of the following is the MOST important factor when an organization is developing
information security policies and procedures?",Alignment with an information security framework,Compliance with relevant regulations,Inclusion of mission and objectives,Consultation with security staff,,B,"A contract for outsourcing IS functions should always include:

A. Full details of security procedures to be observed by the contractor.
B. A provision for an independent audit of the contractor’s operations.
C. The names and roles of staff to be employed in the operation.
D. Data transfer protocols.",True
997,206,single,A contract for outsourcing IS functions should always include:,Full details of security procedures to be observed by the contractor.,A provision for an independent audit of the contractor’s operations.,The names and roles of staff to be employed in the operation.,Data transfer protocols.,,B,"Comprehensive and Detailed Step-by-Step Explanation:
When outsourcingIS functions,independent audit provisionsensure thatcontractors meet
security, compliance, and operational standards.
Option A (Incorrect):Security procedures should be included but are subject
tochangeandmay not be detailedin the contract.
Option B (Correct):Independent audit rightsallow the organization toverifythat the
vendor complies with security, operational, and regulatory requirements.
Option C (Incorrect):Naming specific staff isimpracticaland not acore contractual
requirement.
Option D (Incorrect):Data transfer protocols are important, but they are atechnical
detailrather than aprimary contract requirement.
Reference:ISACA CISA Review Manual –Domain 3: Information Systems Acquisition,
Development, and Implementation– Covers outsourcing, SLAs, and audit requirements.",True
998,206,single,Which of the following protocols should be used when transferring data via the internet?,User Datagram Protocol (UDP),Hypertext Transfer Protocol (HTTP),Secure File Transfer Protocol (SFTP),Remote Desktop Protocol (RDP),,C,"Comprehensive and Detailed Step-by-Step Explanation:
SFTP (Secure File Transfer Protocol)is the most secure option for transferring data over
the internet, as it encrypts both commands and data, ensuring confidentiality and integrity.
SFTP (Correct Answer – C)
UDP (Incorrect – A)
HTTP (Incorrect – B)
RDP (Incorrect – D)

References:
ISACA CISA Review Manual
NIST 800-52 (Guidelines for Transport Layer Security)",True
999,206,single,"Which of the following is the MOST important privacy consideration for an organization that
uses a cloud service provider to process customer data?","Data privacy must be managed in accordance with the regulations applicable to the
organization.","Data privacy must be monitored in accordance with industry standards and best
practices.","No personal information may be transferred to the service provider without notifying the
customer.","Customer data transferred to the service provider must be reported to the regulatory
authority.",,D,"Which of the following would be of GREATEST concern to an IS auditor reviewing an IT-
related customer service project?

A. The project risk exceeds the organization's risk appetite.
B. Executing the project will require additional investments.
C. Expected business value is expressed in qualitative terms.
D. The organization will be the first to offer the proposed services.",True
1000,206,single,"Which of the following would be of GREATEST concern to an IS auditor reviewing an IT-
related customer service project?",The project risk exceeds the organization's risk appetite.,Executing the project will require additional investments.,Expected business value is expressed in qualitative terms.,The organization will be the first to offer the proposed services.,,A,"When protecting the confidentiality of information assets, the MOST effective control
practice is the:",True
1001,206,single,"When protecting the confidentiality of information assets, the MOST effective control
practice is the:",Awareness training of personnel on regulatory requirements,Utilization of a dual-factor authentication mechanism,Configuration of read-only access to all users,Enforcement of a need-to-know access control philosophy,,D,"Which of the following is the BEST way to foster continuous improvement of IS audit
processes and practices?",True
1002,206,single,"Which of the following is the BEST way to foster continuous improvement of IS audit
processes and practices?","Invite external auditors and regulators to perform regular assessments of the IS audit
function.",Implement rigorous managerial review and sign-off of IS audit deliverables.,"Frequently review IS audit policies, procedures, and instruction manuals.",Establish and embed quality assurance (QA) within the IS audit function.,,D,"The best way to foster continuous improvement of IS audit processes and practices is to
establish and embed quality assurance (QA) within the IS audit function, as this will ensure
that the IS audit activities are aligned with the standards, expectations, and objectives of
the organization and the stakeholders12. QA involves periodic internal and external
assessments, benchmarking, feedback, and root cause analysis to identify and address
gaps, issues, and opportunities for improvement34.
References
1: The Basics and Principles of Continuous Improvement4 2: ISO 9001 Auditing Practices
Group Guidance on5 3: INSIGHTS TO QUALITY3 4: Continuous Auditing: Coordinating
Continuous Auditing and Monitoring to Provide Continuous Assurance2",True
1003,206,single,"Which of the following is the MOST effective way to evaluate the physical security of a data
center?",Review data center access logs.,Interview data center stakeholders.,Review camera footage from the data center.,Perform a data center tour.,,D,"Which of the following is the BEST control to help ensure the completeness of outbound
transactions?

A. Perform edit checks to identify erroneous, unusual, or invalid transactions.
B. Verify transactions are sequentially numbered in the header record.
C. Ensure the validity of the recipient ID and use auto-numbered reports.
D. Maintain a log of the number of messages sent and validate periodically.",True
1004,206,single,"Which of the following is the BEST control to help ensure the completeness of outbound
transactions?","Perform edit checks to identify erroneous, unusual, or invalid transactions.",Verify transactions are sequentially numbered in the header record.,Ensure the validity of the recipient ID and use auto-numbered reports.,Maintain a log of the number of messages sent and validate periodically.,,D,"Comprehensive and Detailed Step-by-Step Explanation:
To ensurecompleteness of outbound transactions, alog with periodic validationis thebest
control.
Option A (Incorrect):Edit checkshelp withdata accuracy, not completeness.
Option B (Incorrect):Sequential numberingdetects missing transactions but does
not verifyactual transmission.
Option C (Incorrect):Recipient ID validationis important foraccuracy, not for
ensuring all transactions are sent.
Option D (Correct):Maintaining and validating transaction logsensures thatall
outbound transactions are properly accounted for, making it the best completeness
control.
Reference:ISACA CISA Review Manual –Domain 3: Information Systems Acquisition,
Development, and Implementation– Coversdata integrity, completeness controls, and
transaction logging.",True
1005,206,single,"During a physical security audit, an IS auditor was provided a proximity badge that granted
access to three specific floors in a corporate office building. Which of the following issues
should be of MOST concern?",The proximity badge did not work for the first two days of audit fieldwork.,There was no requirement for an escort during fieldwork.,There was no follow-up for unsuccessful attempted access violations.,The proximity badge incorrectly granted access to restricted areas.,,D,"The proximity badge incorrectly granting access to restricted areas is the most concerning
issue, as it indicates a failure of the access control system to enforce the principle of least
privilege and protect the sensitive or critical assets of the organization. The proximity badge
should only grant access to the areas that are necessary for the IS auditor to perform the
audit fieldwork, and not to any other areas that may contain confidential information,
valuable equipment, or hazardous materials. The incorrect access could result in
unauthorized disclosure, modification, or destruction of the assets, as well as potential
safety or legal issues.
References
ISACA CISA Review Manual, 27th Edition, page 254
Office & Workplace Physical Security Assessment Checklist
Physical Security: Planning, Measures & Examples",True
1006,206,single,"An IS auditor is reviewing database fields updated in real-time and displayed through other
applications in multiple organizational functions. When validating business approval for
these various use cases, which of the following sources of information would be the BEST
starting point?",Network map from the network administrator,Historical database change log records,List of integrations from the database administrator (DBA),Business process flow from management,,D,"Understanding the business process flow is crucial as it provides insights into how different
applications and organizational functions use and update the database fields in real-time.
This perspective helps the auditor validate that appropriate business approvals are in place
for these use cases.
References
ISACA CISA Review Manual 27th Edition, Page 128-129 (Business Process Flow)",True
1007,206,single,Which of the following is the PRIMARY purpose of a rollback plan for a system change?,To ensure steps exist to remove the change if necessary,To ensure testing can be re-performed if required,To ensure a backup exists before implementing a change,To ensure the system change is effective,,A,"Which of the following would an IS auditor find to be the GREATEST risk associated with
the server room in a remote office location?

A. The server room is secured by a key lock instead of an electronic lock.
B. The server room's location is known by people who work in the area.
C. The server room does not have temperature controls.
D. The server room does not have biometric controls.",True
1008,206,single,"Which of the following would an IS auditor find to be the GREATEST risk associated with
the server room in a remote office location?",The server room is secured by a key lock instead of an electronic lock.,The server room's location is known by people who work in the area.,The server room does not have temperature controls.,The server room does not have biometric controls.,,C,"Which of the following network topologies will provide the GREATEST fault tolerance?

A. Bus configuration
B. Mesh configuration
C. Star configuration
D. Ring configuration",True
1009,206,single,Which of the following network topologies will provide the GREATEST fault tolerance?,Bus configuration,Mesh configuration,Star configuration,Ring configuration,,B,"Which of the following is the BEST recommendation to drive accountability for achieving
the desired outcomes specified in a benefits realization plan for an IT project?

A. Document the dependencies between the project and other projects within the same
program.
B. Ensure that IT takes ownership for the delivery and tracking of all aspects of the benefits
realization plan.
C. Ensure that the project manager has formal authority for managing the benefits
realization plan.
D. Assign responsibilities, measures, and timelines for each identified benefit within the
plan.",True
1010,206,single,"Which of the following is the BEST recommendation to drive accountability for achieving
the desired outcomes specified in a benefits realization plan for an IT project?","Document the dependencies between the project and other projects within the same
program.","Ensure that IT takes ownership for the delivery and tracking of all aspects of the benefits
realization plan.","Ensure that the project manager has formal authority for managing the benefits
realization plan.","Assign responsibilities, measures, and timelines for each identified benefit within the
plan.",,D,"Which type of threat can utilize a large group of automated social media accounts to steal
data, send spam, or launch distributed denial of service (DDoS) attacks?

A. Botnet attack
B. Data mining
C. Phishing attempt
D. Malware sharing",True
1011,206,single,"Which type of threat can utilize a large group of automated social media accounts to steal
data, send spam, or launch distributed denial of service (DDoS) attacks?",Botnet attack,Data mining,Phishing attempt,Malware sharing,,A,"Which of the following is the MOST effective control when granting access to a service
provider for a ctoud-6ased application?

A. Administrator access is provided for a limited period with an expiration date.
B. Access has been provided on a need-to-know basis.
C. User IDs are deleted when work is completed.
D. Access is provided to correspond with the service level agreement (SLA).",True
1012,206,single,"Which of the following is the MOST effective control when granting access to a service
provider for a ctoud-6ased application?",Administrator access is provided for a limited period with an expiration date.,Access has been provided on a need-to-know basis.,User IDs are deleted when work is completed.,Access is provided to correspond with the service level agreement (SLA).,,B,"Granting access on a need-to-know basis ensures that a service provider only has the
permissions necessary to perform their specific tasks. This principle minimizes the risk of
unauthorized access or accidental misuse of the system by restricting access to essential
areas only. It aligns with the least privilege principle, a cornerstone of effective access
control.
Limited Administrator Access with Expiration (Option A):This is helpful but does
not ensure that the access granted aligns with the specific job requirements.
Deleting User IDs After Completion (Option C):This is a good practice but applies
after the task, not during access.
Access Corresponding to the SLA (Option D):While important, this focuses on
timeframes and does not restrict permissions effectively.
Reference:ISACA CISA Review Manual, Job Practice Area 4: Protection of Information
Assets.",True
1013,206,single,"Which of the following is an IS auditor's BEST recommendation to mitigate the risk of
eavesdropping associated with an application programming interface (API) integration
implementation?",Encrypt the extensible markup language (XML) file.,Implement Transport Layer Security (TLS).,Mask the API endpoints.,Implement Simple Object Access Protocol (SOAP).,,B,"The following findings are the result of an IS auditor’s post-implementation review of a
newly implemented system. Which of the following findings is of GREATEST significance?

A. A lessons learned session was never conducted.
B. Monthly dashboards did not always contain deliverables.
C. The project’s 10% budget overrun was not reported to senior management.
D. Measurable benefits were not defined.",True
1014,206,single,"The following findings are the result of an IS auditor’s post-implementation review of a
newly implemented system. Which of the following findings is of GREATEST significance?",A lessons learned session was never conducted.,Monthly dashboards did not always contain deliverables.,The project’s 10% budget overrun was not reported to senior management.,Measurable benefits were not defined.,,D,"Comprehensive and Detailed Step-by-Step Explanation:
Ifmeasurable benefitswerenot defined, the organizationcannot assess whether the system
achieved its intended goals, making it the mostcriticalissue.
Measurable Benefits Not Defined (Correct Answer – D)
No Lessons Learned (Incorrect – A)
Missing Dashboard Deliverables (Incorrect – B)
Budget Overrun (Incorrect – C)
References:
ISACA CISA Review Manual
COBIT 2019 (Project Governance)",True
